date,stepCount,stepsDistance,calories,sleepQuality,sleepDuration,inactivityAlertCount,dailyMetMinutes,maximumHeartRate,NO_DATA,SLEEP,SEDENTARY,LIGHT,CONTINUOS_MODERATE,INTERMITTENT_MODERATE,CONTINUOS_VIGOROUS,INTERMITTENT_VIGOROUS,NON_WEAR,sleepDuration_sec
2021-07-12,12373,8307.6552734375,2492,0.894608,06:48:00,0,275.79999999999984,,0,08:32:00,08:08:30,05:16:30,02:03:00,00:00:00,00:00:00,00:00:00,00:00:00,06:48:00
2021-09-30,0,0.0,1365,0.0,00:00:00,0,0.15000000000000002,,0,00:12:30,00:00:00,00:01:00,00:00:00,00:00:00,00:00:00,00:00:00,23:46:30,00:00:00
2023-08-28,16025,11078.662109375,2597,0.790216,10:03:00,0,434.65000000000003,197.0,0,11:15:30,06:30:00,04:25:30,00:54:30,00:00:00,00:54:30,00:00:00,00:00:00,10:03:00
2021-04-01,17005,9930.1845703125,2519,0.859574,07:50:00,0,293.1499999999999,,0,09:15:30,06:14:00,05:30:00,02:09:30,00:00:00,00:01:30,00:00:00,00:49:30,07:50:00
2023-08-09,14239,9993.9609375,2699,0.857143,08:20:30,0,402.55000000000024,197.0,0,09:49:00,05:42:00,06:45:00,00:53:30,00:00:00,00:50:30,00:00:00,00:00:00,08:20:30
2022-01-02,16495,13481.173828125,2750,0.0,00:00:00,0,627.6999999999998,,0,03:48:00,04:38:30,02:41:30,01:22:00,00:00:00,01:17:30,00:00:00,10:12:30,00:00:00
2023-08-11,9874,5606.6826171875,2497,0.845588,06:48:00,0,195.05000000000007,197.0,0,06:02:00,09:10:30,07:46:00,00:46:00,00:00:00,00:15:30,00:00:00,00:00:00,06:48:00
2023-02-07,21457,13239.072265625,2924,0.873757,08:23:00,0,451.1000000000002,197.0,0,08:28:30,05:13:00,06:50:00,02:56:30,00:00:00,00:32:00,00:00:00,00:00:00,08:23:00
2022-05-11,9913,5342.58447265625,2290,0.863145,06:56:30,0,171.75000000000014,197.0,0,08:14:00,08:02:30,05:34:30,01:06:00,00:00:00,00:00:00,00:00:00,01:03:00,06:56:30
2021-11-10,0,0.0,1366,0.0,00:00:00,0,0.10000000000000009,,0,01:13:30,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,22:46:30,00:00:00
2022-09-30,13405,6971.64599609375,2625,0.747463,07:23:30,0,225.09999999999997,197.0,0,05:43:00,07:10:30,08:32:30,01:29:00,00:00:00,00:00:00,00:00:00,01:05:00,07:23:30
2019-06-08,0,0.0,1254,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2024-03-17,0,0.0,1373,0.0,00:00:00,0,1.9000000000000001,197.0,0,00:09:00,00:00:00,00:03:00,00:00:00,00:00:00,00:00:00,00:00:00,23:48:00,00:00:00
2021-04-22,30138,21761.212890625,3463,0.899705,08:28:30,0,841.7500000000002,,0,07:54:00,05:28:00,06:43:00,02:06:00,00:00:00,01:49:30,00:00:00,00:00:00,08:28:30
2024-03-03,6058,3157.097900390625,2033,0.850725,05:45:00,0,102.50000000000001,197.0,0,12:27:30,06:58:30,03:42:00,00:52:00,00:00:00,00:00:00,00:00:00,00:00:00,05:45:00
2022-03-09,20717,14308.1533203125,3181,0.856031,08:34:00,0,671.9999999999994,197.0,0,08:31:00,05:28:00,06:47:30,02:01:00,00:00:00,01:12:30,00:00:00,00:00:00,08:34:00
2025-04-18,5996,2943.89306640625,1883,0.800258,06:28:00,0,104.4,197.0,0,08:44:30,01:38:30,03:32:30,00:30:00,00:00:00,00:00:00,00:00:00,09:34:30,06:28:00
2022-03-11,0,0.0,1365,0.0,00:00:00,0,0.09999999999999998,197.0,0,00:13:30,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,23:46:30,00:00:00
2022-06-28,0,0.0,1371,0.0,00:00:00,0,1.3000000000000003,197.0,0,00:11:30,00:00:00,00:03:00,00:00:00,00:00:00,00:00:00,00:00:00,23:45:30,00:00:00
2023-08-02,11401,6173.76953125,2396,0.844847,07:21:30,0,247.45000000000013,197.0,0,10:26:30,06:48:30,04:33:30,02:11:30,00:00:00,00:00:00,00:00:00,00:00:00,07:21:30
2019-08-20,0,0.0,1255,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2022-12-21,25133,18336.681640625,3436,0.817376,09:24:00,0,819.3499999999999,197.0,0,08:30:00,03:40:30,07:15:00,01:56:30,00:00:00,01:32:00,00:00:00,01:06:00,09:24:00
2022-11-17,16241,9395.28515625,2515,0.886827,04:29:30,0,291.7499999999999,197.0,0,10:34:00,05:20:30,05:51:00,01:59:00,00:00:00,00:15:30,00:00:00,00:00:00,04:29:30
2021-09-08,2379,1404.8260498046875,1739,0.0,00:00:00,0,95.9,,0,03:50:00,02:47:00,01:39:00,00:42:30,00:00:00,00:00:00,00:00:00,15:01:30,00:00:00
