date,name,startTime,stopTime,timeZoneOffset,distance,duration,kiloCalories,maximumHeartRate,averageHeartRate,duration_minutes,vo2Max,restingHeartRate,anaerobicThreshold,functionalThresholdPower,sleepGoal,sport,minHeartRate
2022-06-25,,06:13:47,07:32:02,120,33204.80078125,01:18:15,611.0,197,143.0,01:18:15,45,55.0,177.0,177.0,8.0,ROAD_BIKING,102.0
2021-09-20,,17:21:51,18:05:48,120,7559.10009765625,00:43:57,459.0,194,164.0,00:43:57,45,55.0,175.0,177.0,8.0,RUNNING,95.0
2023-02-19,,08:29:21,08:59:05,60,3700.10009765625,00:29:44,223.0,197,127.0,00:29:44,45,55.0,177.0,177.0,8.0,RUNNING,86.0
2020-03-24,Laufen,18:51:46,20:07:46,60,8029.7001953125,01:16:00,404.0,196,,01:16:00,45,55.0,176.0,,,RUNNING,
2022-12-05,,18:42:39,19:42:42,60,10697.091796875,01:00:03,,197,,01:00:03,45,,,177.0,8.0,RUNNING,
2020-05-02,Laufen,09:46:31,10:29:40,120,7438.2998046875,00:43:09,417.0,195,,00:43:09,46,55.0,176.0,,,RUNNING,
2022-05-19,,06:09:00,06:43:46,120,,00:34:46,288.0,197,143.0,00:34:46,45,55.0,177.0,177.0,8.0,FUNCTIONAL_TRAINING,68.0
2022-02-13,,18:36:52,19:31:57,60,9579.2998046875,00:55:05,599.0,194,169.0,00:55:05,45,55.0,175.0,177.0,8.0,RUNNING,84.0
2025-04-19,,10:08:17,13:00:54,120,29451.599609375,02:52:37,683.0,197,125.0,02:52:37,44,55.0,177.0,172.0,8.0,ROAD_BIKING,82.0
2022-10-21,,09:51:20,10:42:56,120,8615.7998046875,00:51:36,522.0,197,163.0,00:51:36,45,55.0,177.0,177.0,8.0,RUNNING,106.0
2018-10-25,Laufen,16:21:02,17:12:00,120,8921.2998046875,00:50:58,464.0,197,,00:50:58,45,55.0,177.0,,,RUNNING,
2025-03-09,,14:53:22,17:41:40,60,34778.3984375,02:48:18,974.0,197,126.0,02:48:18,44,55.0,177.0,172.0,8.0,MOUNTAIN_BIKING,80.0
2025-04-04,,17:34:44,18:35:56,120,21517.19921875,01:01:12,490.0,197,148.0,01:01:12,44,55.0,177.0,172.0,8.0,ROAD_BIKING,102.0
2021-04-14,,16:54:20,17:50:07,120,9729.2001953125,00:55:47,548.0,195,154.0,00:55:47,46,55.0,176.0,256.0,8.0,RUNNING,105.0
2024-09-18,,19:38:41,20:12:09,120,6146.2001953125,00:33:28,314.0,197,158.0,00:33:28,44,55.0,177.0,172.0,8.0,RUNNING,84.0
2024-02-15,,17:57:26,19:35:38,60,4441.0,01:38:12,900.0,197,159.0,01:38:12,44,55.0,177.0,172.0,8.0,BACKCOUNTRY_SKIING,66.0
2024-07-04,,19:24:20,20:12:37,120,7369.7001953125,00:48:17,426.0,197,167.0,00:48:17,44,55.0,177.0,172.0,8.0,RUNNING,98.0
2020-03-20,Laufen,08:36:11,08:43:39,60,1435.699951171875,00:07:28,62.0,196,,00:07:28,45,55.0,176.0,,,RUNNING,
2024-01-22,,16:59:00,17:32:20,60,,00:33:20,227.0,197,125.0,00:33:20,44,55.0,177.0,172.0,8.0,FUNCTIONAL_TRAINING,83.0
2022-05-06,,16:30:24,16:58:02,120,0.0,00:27:38,138.0,197,105.0,00:27:38,45,55.0,177.0,177.0,8.0,FUNCTIONAL_TRAINING,69.0
2023-07-14,,05:41:02,06:42:33,120,10184.5,01:01:31,604.0,197,165.0,01:01:31,44,55.0,177.0,172.0,8.0,RUNNING,88.0
2022-01-10,,19:24:21,19:59:58,60,6242.60009765625,00:35:37,371.0,194,164.0,00:35:37,45,55.0,175.0,177.0,8.0,RUNNING,102.0
2023-08-28,,19:16:06,20:04:10,120,8767.099609375,00:48:04,475.0,197,161.0,00:48:04,44,55.0,177.0,172.0,8.0,RUNNING,106.0
2022-04-27,,16:26:10,19:12:30,120,31061.19921875,02:46:20,1183.0,197,136.0,02:46:20,45,55.0,177.0,177.0,8.0,MOUNTAIN_BIKING,78.0
2022-09-15,,09:57:32,12:52:59,120,8662.599609375,02:55:27,941.0,197,102.0,02:55:27,45,55.0,177.0,177.0,8.0,HIKING,70.0
2017-03-05,Laufen,08:13:35,08:35:42,60,3004.39990234375,00:22:07,191.0,199,,00:22:07,48,55.0,179.0,,,RUNNING,
2022-12-24,,10:20:44,11:16:19,60,10364.400390625,00:55:35,597.0,197,170.0,00:55:35,45,55.0,177.0,177.0,8.0,RUNNING,112.0
2019-04-14,Laufen,17:01:42,17:34:42,120,5606.0,00:33:00,294.0,197,,00:33:00,45,55.0,177.0,,,RUNNING,
2025-06-11,,16:08:31,17:48:40,120,,01:40:09,113.0,197,103.0,01:40:09,44,55.0,177.0,172.0,8.0,VERTICALSPORTS_WALLCLIMBING,73.0
2023-08-17,,05:48:25,06:10:46,120,,00:22:21,143.0,197,127.0,00:22:21,44,55.0,177.0,172.0,8.0,FUNCTIONAL_TRAINING,97.0
2024-11-24,,14:05:59,15:01:01,60,9772.7998046875,00:55:02,536.0,197,159.0,00:55:02,44,55.0,177.0,172.0,8.0,RUNNING,85.0
2022-01-09,,15:42:46,16:20:08,60,,00:37:22,161.0,194,101.0,00:37:22,45,55.0,175.0,177.0,8.0,FUNCTIONAL_TRAINING,61.0
2023-04-20,,19:21:32,20:17:14,120,10146.0,00:55:42,589.0,197,170.0,00:55:42,44,55.0,177.0,177.0,8.0,RUNNING,107.0
2017-03-31,Laufen,11:32:50,12:33:13,120,9279.2998046875,01:00:23,553.0,199,,01:00:23,48,55.0,179.0,,,RUNNING,
2022-02-15,,19:00:40,19:39:45,60,5980.7998046875,00:39:05,366.0,194,150.0,00:39:05,45,55.0,175.0,177.0,8.0,RUNNING,97.0
2016-07-18,Laufen,09:46:06,10:51:33,120,2782.199951171875,01:05:27,248.0,199,,01:05:27,44,55.0,179.0,,,RUNNING,
2021-10-07,,16:33:06,18:08:58,120,8874.7998046875,01:35:52,878.0,194,161.0,01:35:52,45,55.0,175.0,177.0,8.0,RUNNING,94.0
2023-02-20,,19:37:58,20:37:18,60,10338.599609375,00:59:20,572.0,197,158.0,00:59:20,45,55.0,177.0,177.0,8.0,RUNNING,95.0
2019-06-02,Laufen,17:08:09,17:40:26,120,5227.10009765625,00:32:17,293.0,196,,00:32:17,45,55.0,176.0,256.0,,RUNNING,
2018-09-26,Jogging,12:22:21,12:58:00,120,6304.5,00:35:39,328.0,197,,00:35:39,45,55.0,177.0,,,JOGGING,
2021-04-27,,19:44:15,20:27:40,120,7656.2001953125,00:43:25,461.0,194,168.0,00:43:25,45,55.0,175.0,177.0,8.0,RUNNING,99.0
